ESSAY;PROMPT
essay001.txt;Some people think that children should be taught to compete, but others think that children should be taught to co-operate that become more useful adults. What do you think?
essay002.txt;Nowadays, more people are migrating to other countries than ever before. In order to become integrated into society in their adopted countries, immigrants should abandon their old ways and adapt to local customs and codes of behaviour. Do you agree or disagree?
essay003.txt;International tourism is now more common than ever before. Some feel that this is a positive trend, while others do not. What are your opinions on this?
essay004.txt;International tourism is now more common than ever before. Some feel that this is a positive trend, while others do not. What are your opinions on this?
essay005.txt;The idea of going overseas for university study is an exciting prospect for many people. But while it may offer some advantages, it is probably better to stay home because of the difficulties a student inevitably encounters living and studying in a different culture. To what extent do you agree or disagree this statement? Give reasons for your answer.
essay006.txt;Many students choose to attend schools or universities outside their home countries. Why do some students study abroad? Use specific reasons and details to explain your answer.
essay007.txt;With the rise in popularity of the internet, newspapers will soon become a thing of the past. To what extent do you agree or disagree?
essay008.txt;For successful development of a country, should a government focus its budget more on very young children education rather than universities?
essay009.txt;Many students have to live with roommates while going to school or university. What are some of the important qualities of a good roommate? Use specific reasons and examples to explain why these qualities are important.
essay010.txt;Should governments spend more money on improving roads and highways or should governments spend more money on improving public transportation (buses, trains, subways) . Why? Use specific reasons and details to develop your essay
essay011.txt;Some people say that physical exercise should be a required part of every school day. Other people believe that students should spend the whole school day on academic studies. Which opinion do you agree with? Use specific reasons and details to support your answer. 
essay012.txt;Advance in transportation and communication like the airplane and the telephone have changed the way that nations interact with each other in a global society. Choose another technological innovation that you think is important. Give specific reason for your choice.
essay013.txt;Agree or disagree:Technology has made children less creative than they were in the past.
essay014.txt;Students at schools and universities learn far more from lessons with teachers than from others sources (such as the internet, television).To what extent do you agree or disagree?
essay015.txt;Email and text messaging have transformed communication but they are seriously threatening the status of written language. How far do you agree or disagree with this statement?
essay016.txt;Some people think it is acceptable to use animals for the benefit of the human beings. Some people think it is wrong to exploit animals for the human purposes. What is your opinion?
essay017.txt;Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinions.
essay018.txt;Universities should accept equal numbers of male and female students in every subject. To what extent do you agree or disagree?
essay019.txt;Some young adults want independence from their parents as soon as possible. Other young adults prefer to live with their families for a longer time. Which of these situations do you think is better?
essay020.txt;Some people believe that the government is responsible for cleaning up the environment while other people belief it should be the responsibility of companies and private individuals. Whats you opinion? 
essay021.txt;High sales of a product are mainly due to good advertisment strategies. To what extend to you agree or disagree?
essay022.txt;Some people believe a country will benefit greatly by a high percentage of young people go to university. Others argue that it only leads to unemployment. Discuss both and give your own opinion.
essay023.txt;There are social, medical and technical problems associated with the use of mobile phones. What form do these problems take? Do problems of using mobile phones outweigh the benefits?
essay024.txt;Using computer every day can have more negative than positive effects on your children? do you agree or disagree?
essay025.txt;Large factory near your community. Advantages and disadvantages of this new influence on your community.
essay026.txt;Food is now easier to prepare. Is this a good thing?
essay027.txt;The best and only way to assist developing countries is to provide them with financial aid. To what extent do you agree or disagree?
essay028.txt;Society should ban all forms of the advertising because it has no purpose and causes damages. Do you agree or disagree? 
essay029.txt;Nowadays there are more opportunities for women than there were in the past. Some people think that women should work to earn money whereas other people belief that women should care about household. What's your opinion?
essay030.txt;The government has to provide primary and secondary education, but for university education either students or their parents should pay. To what extent do you agree?
essay031.txt;The first car appeared on British roads in 1888. By the year 2000 there may be as many as 29million vehicles on British roads. Alternative forms of transport should be encouraged and international laws introduced to control car ownership and use. To what extend do you agree or disagree?
essay032.txt;Rich countries should provide financial help to poor contries. To what extend to you agree or disagree?
essay033.txt;Even though globalization affects the world's economics in a very positive way, its negative side should not be forgotten. To what extend do you agree or disagree?
essay034.txt;Many children are forced to stay at school and study subjects that will be of little value to them in the future. These children may disrupt the education of the majority and should be allowed to leave school early to find a themselves a job. What are your views?
essay035.txt;Today, the high sales of popular consumer goods reflect the power of advertising and not the real needs of the society in which they are sold. To what extent do you agree or disagree?
essay036.txt;Why should the ownership of guns be limited?
essay037.txt;Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree with this opinion?
essay038.txt;Some people believe that the range of technology available to individuals today is increasing the gap between rich people and poor people, while others say that technology has the opposite effect. Discuss both views and give your opinion.
essay039.txt;Governments spent a lot of money for traveling outer space. Do you think the investment is reasonable? Give your own opinion and reasons to support you claim
essay040.txt;In some countries, teenagers have jobs while they are still students. Do you think is a good idea? Support your opinion with specific details.
essay041.txt;Some schools send their students to institutions/organizations for a short to do some unpaid work. To what extent is it beneficial to the students and the organizations/institutions?
essay042.txt;Paying more money is the only possible motivation to make employees work harder and to increase their productivity. To what extent do you agree or disagree?
essay043.txt;Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. Do you agree or disagree?
essay044.txt;Government should make more effort to promote alternative sources of energy. To what extent do you agree or disagree with this opinion.
essay045.txt;The government should aid unemployed people by direct financial help. Do you agree or disagree with this statement?
essay046.txt;Some people think that universities should provide graduates with the knowledge and skills needed in the workplace. Others think that the true function of a university should be to give access to knowledge for its own sake, regardless of whether the course is useful to an employer. What, in your opinion, should be the main function of a university
essay047.txt;Do you agree or disagree with the following statement? A zoo has no useful purpose. Use specific reasons and examples to explain your answer.
essay048.txt;Nowadays, distance-learning programs are such common thing for us, but some people argue that they're not as good as those by attending in a college or university in person. To what extent do you agree or disagree?
essay049.txt;Some people have benefited from modern communication technology, but some people have not benefited from it at all. To what extent do you agree or disagree?
essay050.txt;Some people argue that musical lessons should be made mendatory in high school sducation while others argue that it's a wast of time for students. What is your opinion?
essay051.txt;Do you agree or disagree with the following statement? Universities should give the same amount of money to their students' sport activities as they give to their university libraries.
essay052.txt;English is making many lesser-known languages die out each year. To what extent do you think the advantages outweigh the disadvantages?
essay053.txt;Some people believe that humans should be able to use animals for their own benefit, while others argue that the rights of animals should be protected.
essay054.txt;Modern technology has made it possible for people to view exhibitions at home so museums and art galleries will disappear soon. To what extent do you agree or disagree?
essay055.txt;Some people believe that teenagers should learn all school subjects, while others claim that students should focus on the subjects that they are best at or that they are interested in. Discuss both views and give your opinion.
essay056.txt;English is making many lesser-known languages die out each year. To what extent do you think the advantages outweigh the disadvantages?
essay057.txt;Creative artists should always be given the freedom to express their own ideas (in words, pictures, music or film) in whichever way they wish. there should be no government restrictions on what they do. to what extent do you agree or disagree?
essay058.txt;some people think that a sense of competition in children should be encouraged. Others believe that children who are taught to co-operate rather than compete become more useful adults. Discuss both these views and give your opinion.
essay059.txt;Without capital punishment (the death penalty) our lives are less secure and crimes of violent increase. Capital punishment is essential to control violence in society. To what extent do you agree or disagree?
essay060.txt;In some countries, young people are encouraged to work or travel for a year between finishing high school and starting university studies. Discuss the advantages and disadvantages for young people who decide to do this.
essay061.txt;We are becoming increasingly dependent on computers. They are used in business, hospitals, crime detection and even to fly planes. What things will they be used for in future? Is this dependence on computers a good thing or should we be more suspicious of their benefits?
essay062.txt;Universities should accept equal numbers of male and female students in every subject. To what extent do you agree or disagree?
essay063.txt;Do you agree or disagree with the statement: people will spend less time on cooking food
essay064.txt;Traditional games are more useful than modern games in developing children's skills. To what extent do you agree?
essay065.txt;Some people said the government shouldn't put money on building theaters or sports stadiums but should spend more money on medical care and education. Do you agree or disagree?
essay066.txt;When a country develops its technology, the traditional skills and ways of life die out. It's pointless to try and keep them alive. To what extent do you agree or disagree with this opinion?
essay067.txt;Creative artists should be given freedom to express their ideas (words, pictures, music and films. However some people think government should take some restriction with them. To what extent do you agree or disagree with this opinion?
essay068.txt;The government should control the amount of violence in the media to reduce the number of violent crimes. To what extent do you agree or disagree?
essay069.txt;Nowadays there are more opportunities for women than there were in the past. Some people think this situation has caused more problems than it has solved. Do you agree or disagree? Give reasons or your answer
essay070.txt;Increasing the price of petrol is the best way to solve growing traffic and pollution problems. To what extent do you agree or disagree? What other measures do you think might be effective?
essay071.txt;Should advertisements be banned? To what extend do you agree or disagree?
essay072.txt;People have different ways of escaping the stress and difficulties of modern life. Some read, some exercise, others work in their gardens. What do you think are the best ways of reducing stress? Use specific details and examples to support your opinion.
essay073.txt;In the modern world, the image (photograph or film) is becoming a more powerful way of communication than the written word. To what extent do you agree or disagree?
essay074.txt;Several languages are in danger of extinction because they are spoken by very small numbers of people. Some people say that governments should spend public money on saving these languages, while others believe that would be a waste of money. Discuss both these views and give your opinion.
essay075.txt;Many people think arts and music do not improve the quality of life, and the government should spent money on other things rather than the arts such as music and painting, to what extent agree or disagree_
essay076.txt;Some people say the government should pay for the health care and education, but others say that it is not the government's responsibility. Discuss both views and give your own opinion.
essay077.txt;Many people think zoos that keep wild animals in a man-made environment should be no longer exist in the 21st century. To what extent do you agree or disagree with this opinion?
essay078.txt;Some industrialized countries have serious environmental problems. The damage to the environment is an inevitable result when a country tends to improve the standard of living. To what extent do you agree or disagree?
essay079.txt;Some people argue that the government should spend money on public services and facilities, but not on the arts. Do you agree or disagree?
essay080.txt;Do you agree or disagree with the following statement? Animals should be free, people should not keep them in zoos. Use specific reasons and examples to support your answer.
essay081.txt;Creative artists should always be given the freedom to express their own ideas (in words, picture, music or film) in whichever way they wish. There should be no government restrictions on what they do. To what extent do you agree or disagree with this?
essay082.txt;Advertising is all around us, it is an unavoidable part of everyone's life. Some people say that advertising is a positive part of our lives while others say it is negative. Discuss both views and give your own opinion. Give reasons for your answer and include any relevant examples from your own knowledge or experience. 
essay083.txt;The nuclear power provide clean and cheap energy. The advantages of nuclear technology outweigh the disadvantages. Do you agree or disagree ?
essay084.txt;Some people argue that the government should give every unemployed person a mobile phone and should make sure they have access to the Internet. They believe this is the best way of using the public money to reduce the problem of unemployment. To what extent do you agree or disagree? 
essay085.txt;The use of close circuit television (CCTV) cameras in streets, stations, shops and other public places has increased rapidly in recent years. Although we are told that these cameras help in the fight against crime, some people are opposed to their use. They believe that everyone has a right to privacy. What are your views?
essay086.txt;It is better for children to grow up in the countryside than in a big city? Do you agree or disagree?
essay087.txt;Some people prefer to take a position in a company and work for the company. Other people think is better to go into business for themselves. Which do you think is better?
essay088.txt;"The expression ""Never,never give up"" means keep trying and never stop working for your goal. Do you agree or disagree with this statement?"
essay089.txt;Some people think that human needs for farmland, housing and industry are more important than saving land for endangered animals. Do you agree or disagree with this point of view?
essay090.txt;One should never judge a person by external appearance. Do you agree or disagree with this statement?
essay091.txt;Some people believe that there should be a single international language. Others believe that this would make it difficult to maintain the identity of cultures. What's your opinion?
essay092.txt;Fashion trends are difficult to follow these days and it is believed that they primarily just to sell clothes. Some people believe that we should not follow them and that we should dress in what we like. To what extent do you agree or disagree?
essay093.txt;Should wealthy nations be required to share their wealth among poorer nations by providing such things as food and education? Or is it the responsibility of the governments of poorer nations to look after their citizens themselves?
essay094.txt;Out of our country's health budget, a large proportion should be diverted from treatment to spend on health education and preventative measures. To what extent do you agree or disagree with this statement?
essay095.txt;The popularity of news media often has significant influence on people' lives. Some people believe that to be a negative development. Do you agree or disagree?
essay096.txt;Under British and Australian laws, a jury in a criminal case has no access to information about the defendant's past criminal record. This protects the person who is being accused of the crime. Some lawyers have suggested that this practice should be changed and that a jury should be given all the past facts before they reach their decision about the case. Do you agree or disagree? 
essay097.txt;Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree?
essay098.txt;In many countries, children are engaged in some kind of paid work. Some people regard as completely wrong, while others consider it as some kind of work experience, important for learning and taking responsibilities. What are your opinions on this?
essay099.txt;In some countries young people are encouraged to work or travel for a year between finishing high school and starting university studies. Discuss the advantages and disadvantages for young people who decide to do this.
essay100.txt;The qualities a person needs to become successful in today's world cannot be learned at a university or similar academic institution. To what extent do you agree or disagree?
essay101.txt;People should be allowed to continue to work for as long as they want to, and not forced to retire at a particular age such as 60 or 65. Do you agree or disagree? 
essay102.txt;Some people claim that public museums and art galleries will not be needed because people can see historical objects and works by using computer. To what extent do you agree or disagree?
essay103.txt;Under British and Australian laws a jury in a criminal case has no access to information about the defendant's past criminal record. This protects the person who is being accused of the crime. Some lawyers have suggested that this practice should be changed and that a jury should be given all the past facts before they reach their decision about the case. Do you agree or disagree?
essay104.txt;University lecturers are now able to put their lectures on the internet for students to read and so the importance of attending face to face lectures has been reduced. Do you believe the use of Internet in formal education is a good idea and what are the effects that the internet has on future academic study? 
essay105.txt;Many people in the undeveloped world die from diseases that are curable because they can't afford the medication to treat themselves. Do you believe that drug companies in the developed world should be obliged to make their products available at reduced prices in these undeveloped countries so that people do not die unnecessarily?
essay106.txt;Some businesses prohibit smoking in any of their offices. Some governments have banned smoking in all public places. Do you agree or disagree?
essay107.txt;Some people say we humans are harming the Earth through our activities, but other people say we are improving the quality of life on our planet. Which opinion do you agree with ?
essay108.txt;Some people believe that in order to give opportunities to new generations, companies should encourage high level employees who are older than 55 to retire. Do you agree or disagree?
essay109.txt;Some people believe that the media, such as the press, TV and internet should be more strictly controlled. Others feel that controls should be loosened to give people freer access to information. Which opinion do you agree with?
essay110.txt;Some people think that paying taxes is enough to contribute to the society. Others argue that being a citizen involves more responsibilities. Discuss, what is your opinion?
essay111.txt;Testing on animals should be made illegal. Agree or disagree?
essay112.txt;"Many people believe that formal ""pen and paper"" examinations are not the best method of assessing educational achievement. What is your view of examinations? "
essay113.txt;Improvements in health, education and trade are essential for the development of poorer nations. However, the governments of richer nations should take more responsibility for helping the poorer nations in such areas.
essay114.txt;As computers are being used more and more in education, there will be soon no role for teachers in the classroom. Agree or disagree.
essay115.txt;Food can be produced cheaper if we use improved fertilisers and better machinery. However some of methods may be dangerous for human health, and have negative effects for local communities. What is your opinion?
essay116.txt;Some people think that government should spend money on other important subjects rather helping artists. Do you agree or disagree?
essay117.txt;Development in technology causes environmental problems. Some people believe the solution in these problems is everyone accepts a simpler way of life, while others say that technology can solve these problems. Discuss both view and give your own opinion. 
essay118.txt;Professional athletes (such as football stars) and entertainers (such as singers and actors) are paid too much money for the work they do. Use specific details and examples to support your answer. 
essay119.txt;Some people think that computers and the Internet are more important for a child's education than going to school. But others believe that schools and teachers are essential for children to learn effectively. Discuss both views and give your own opinion.
essay120.txt;Capital punishment (the death penalty) is necessary in order to control the amount of violent crimes in society. To what extent do you agree or disagree?
essay121.txt;Businesses should do anything they can to make a profit. Do you agree or disagree with this statement?
essay122.txt;It is recently announced that a new high school may be built in your neighborhood. Do you support or oppose this plan?
essay123.txt;Parents or other adult relatives should make important decisions for their older (15 - 18 year old) teenaged children. Do you agree or disagree with this statement?
essay124.txt;Childhood is the happiest time of a person's life. Do you agree or disagree with this statement?
